PMID,Title,Consumer Wearable Brand(s),Reviewer 1 Initial Decision,Reviewer 2 Initial Decision,Final Consensus Decision
33555260,Heart Rate Measurements in Patients with Obstructive Sleep Apnea and Atrial Fibrillation: Prospective Pilot Study Assessing Apple Watch’s Agreement With Telemetry Data,"Apple Watch (first-generation, model A1554)",Include,Include,Include
33590821,"Validation of the Withings Sleep Analyzer, an under-the-mattress device for the detection of moderate-severe sleep apnea syndrome",Withings Sleep Analyzer | Withings Sleep,Exclude,Exclude,Exclude
33764310,"Measurement of Heart Rate Using the Polar OH1 and Fitbit Charge 3 Wearable Devices in Healthy Adults During Light, Moderate, Vigorous, and Sprint-Based Exercise: Validation Study",Polar OH1 | Fitbit Charge 3,Exclude,Exclude,Exclude
33792456,Performance of Fitbit Charge 3 against polysomnography in measuring sleep in adolescent boys and girls,Fitbit,Include,Include,Include
33837981,Heart rate detection by Fitbit ChargeHR™: A validation study versus portable polysomnography,Fitbit,Include,Include,Include
33838317,Validation of an algorithm for continuous monitoring of atrial fibrillation using a consumer smartwatch,Samsung Galaxy Watch Active 2,Include,Include,Include
33920452,Validity of Hololens Augmented Reality Head Mounted Display for Measuring Gait Parameters in Healthy Adults and Children with Cerebral Palsy,Microsoft HoloLens (version 1) augmented reality head mounted display,Exclude,Exclude,Exclude
34065516,Wrist-Based Photoplethysmography Assessment of Heart Rate and Heart Rate Variability: Validation of WHOOP,WHOOP 2.0,Include,Include,Include
34201016,A Validation Study of a Commercial Wearable Device to Automatically Detect and Estimate Sleep,WHOOP strap (Generation 2.0),Include,Include,Include
34201861,The Promise of Sleep: A Multi-Sensor Approach for Accurate Sleep Stage Detection Using the Oura Ring,"Oura Ring (second generation, Gen2M research version with identical sensors to commercial Oura Ring)",Include,Include,Include
34249976,The Auxiliary Diagnostic Value of a Novel Wearable Electrocardiogram-Recording System for Arrhythmia Detection: Diagnostic Trial,AMAZFIT wearable dynamic ECG recorder (Model No DL4310/03),Exclude,Exclude,Exclude
34267718,Validation of Blood Pressure Measurement Using a Smartwatch in Patients With Parkinson’s Disease,Samsung SM-R850 smartwatch,Include,Include,Include
34557047,A Single-Center Validation of the Accuracy of a Photoplethysmography-Based Smartwatch for Screening Obstructive Sleep Apnea,HUAWEI Watch GT2 smartwatch,Include,Include,Include
34577457,"Validity, Reliability and Sensitivity to Change of Three Consumer-Grade Activity Trackers in Controlled and Free-Living Conditions among Older Adults",Polar Vantage M | Garmin Vivoactive 4s | Garmin Vivosport,Include,Include,Include
34609317,Validation of Fitbit Charge 2 Sleep and Heart Rate Estimates Against Polysomnographic Measures in Shift Workers: Naturalistic Study,Fitbit Charge 2,Include,Include,Include
34634070,Detection of obstructive sleep apnea using Belun Sleep Platform wearable with neural network-based algorithm and its combined use with STOP-Bang questionnaire,Belun Sleep Platform Belun Ring,Exclude,Exclude,Exclude
34640733,Validation of the Apple Watch for Estimating Moderate-to-Vigorous Physical Activity and Activity Energy Expenditure in School-Aged Children,Apple Watch 3,Include,Include,Include
34856623,Measurement Performance of Activity Measurements with Newer Generation of Apple Watch in Wheelchair Users with Spinal Cord Injury,Apple Watch Series 4 | Apple Watch Series 1,Include,Include,Include
34953753,Beyond the wrist: Using a smartwatch electrocardiogram to detect electrocardiographic abnormalities,Apple Watch Series 4,Include,Include,Include
35009603,Wristbands in Home-Based Rehabilitation—Validation of Heart Rate Measurement,Fitbit Charge 4 | Xiaomi Mi Band 5,Include,Include,Include
35009680,Validity of the Wrist-Worn Polar Vantage V2 to Measure Heart Rate and Heart Rate Variability at Rest,Polar Vantage V2,Include,Include,Include
35009723,Heart Rate and Distance Measurement of Two Multisport Activity Trackers and a Cellphone App in Different Sports: A Cross-Sectional Validation and Comparison Field Study,Garmin Forerunner 945 | Polar Ignite | Polar Beat app on iPhone 7 | Polar H10 chest strap,Exclude,Exclude,Exclude
35040799,Accuracy Assessment of Oura Ring Nocturnal Heart Rate and Heart Rate Variability in Comparison With Electrocardiography in Time and Frequency Domains: Comprehensive Analysis,Oura Ring,Include,Include,Include
35044306,Accuracy of Heart Rate Measurement by the Fitbit Charge 2 During Wheelchair Activities in People With Spinal Cord Injury: Instrument Validation Study,Fitbit Charge 2,Include,Include,Include
35047769,Assessing Moderate to Vigorous Physical Activity in Older Adults: Validity of a Commercial Activity Tracker,Garmin Vivosmart HR,Include,Include,Include
35131229,Atrial fibrillation detection using ambulatory smartwatch photoplethysmography and validation with simultaneous holter recording,Garmin Forerunner 945 smartwatch,Include,Include,Include
35162615,Is the Xiaomi Mi Band 4 an Accuracy Tool for Measuring Health-Related Parameters in Adults and Older People? An Original Validation Study,Xiaomi Mi Band 4,Include,Include,Include
35172081,Axillary temperature measurements based on smart wearable thermometers in South Korean children: comparison with tympanic temperature measurements,"TempTraq® wearable wireless thermometer (Model TT-100, Blue Spark Technologies, Westlake, OH, USA)",Exclude,Exclude,Exclude
35187135,Smartwatch Electrocardiograms for Automated and Manual Diagnosis of Atrial Fibrillation: A Comparative Analysis of Three Models,Apple Watch Series 5 | Samsung Galaxy Watch Active 3 | Withings Move ECG,Include,Include,Include
35230250,Heart Rate Measurement Accuracy of Fitbit Charge 4 and Samsung Galaxy Watch Active2: Device Evaluation Study,Fitbit Charge 4 | Samsung Galaxy Watch Active2,Include,Include,Include
35265871,A comparison of manual electrocardiographic interval and waveform analysis in lead 1 of 12-lead ECG and Apple Watch ECG: A validation study,Apple Watch Series 4,Include,Include,Include
35329793,Assessment of Non-Invasive Measurements of Oxygen Saturation and Heart Rate with an Apple Smartwatch: Comparison with a Standard Pulse Oximeter,Apple Watch 6,Include,Include,Include
35345630,Performance of Four Commercial Wearable Sleep-Tracking Devices Tested Under Unrestricted Conditions at Home in Healthy Young Adults,Fatigue Science Readiband (version 5) | Fitbit Inspire HR | Oura ring (2nd generation) | Polar Vantage V Titan,Exclude,Exclude,Exclude
35370407,Clinical Accuracy of the Withings BPM Connect for Self-Blood Pressure Measurements in Pregnancy and Pre-Eclampsia: Validation According to the Association for the Advancement of Medical Instrumentation/European Society of Hypertension/International Organization for Standardization Universal Standard,Withings BPM Connect,Exclude,Exclude,Exclude
35434406,Accuracy of Heart Rate and Respiratory Rate Measurements Using Two Types of Wearable Devices,"Silmee W22 (TDK, Tokyo, Japan) | Spire Stone (Spire Health, San Francisco, CA, USA)",Exclude,Exclude,Exclude
35481559,Atrial Fibrillation Detection With an Analog Smartwatch: Prospective Clinical Study and Algorithm Validation,Withings ScanWatch,Include,Include,Include
35502231,"Evaluation of Sleep Parameters and Sleep Staging (Slow Wave Sleep) in Athletes by Fitbit Alta HR, a Consumer Sleep Tracking Device",Fitbit Alta HR (FBA),Include,Include,Include
35611177,Obstructive Sleep Apnoea Syndrome Screening Through Wrist-Worn Smartbands: A Machine-Learning Approach,Fitbit Charge4 | Fitbit AltaHR,Include,Include,Include
35622397,Polar Vantage and Oura Physical Activity and Sleep Trackers: Validation and Comparison Study,Polar Vantage watch (Polar Electro Oy) | Oura ring Generation 2 (Ōura Health Oy),Include,Include,Include
35738855,Comparison of 2 Smart Watch Algorithms for Detection of Atrial Fibrillation and the Benefit of Clinician Interpretation SMART WARS Study,Apple Watch Series 4 | KardiaBand,Exclude,Exclude,Exclude
35811720,Clinical Validation of Automated Corrected QT-Interval Measurements From a Single Lead Electrocardiogram Using a Novel Smartwatch,Withings Scanwatch,Include,Include,Include
35817700,Performance evaluation of a wrist-worn reflectance pulse oximeter during sleep,"Galaxy Watch 4 (GW4, Samsung Electronics Co., Seoul, South Korea; models SM-R890N and SM-R860N)",Include,Include,Include
36016077,"A Validation of Six Wearable Devices for Estimating Sleep, Heart Rate and Heart Rate Variability in Healthy Adults",Apple Watch Series 6 | Garmin Forerunner 245 Music | Polar Vantage V | Oura Ring Generation 2 | WHOOP 3.0 | Somfit,Include,Include,Include
36048505,Measurement of Heart Rate Using the Withings ScanWatch Device During Free-living Activities: Validation Study,Withings ScanWatch,Include,Include,Include
36104356,Agreement between two photoplethysmography‑based wearable devices for monitoring heart rate during different physical activity situations: a new analysis methodology,Apple Watch S6 | Polar Vantage M2,Include,Include,Include
36157395,Are Wrist-Worn Activity Trackers and Mobile Applications Valid for Assessing Physical Activity in High School Students? Wearfit Study,Samsung Galaxy Watch Active 2 | Apple Watch Series 5 | Xiaomi Mi Band 5,Include,Include,Include
36256631,Validation of Fitbit Charge 4 for assessing sleep in Chinese patients with chronic insomnia: A comparison against polysomnography and actigraphy,Fitbit Charge 4,Include,Include,Include
36502241,Validity of Two Consumer Multisport Activity Tracker and One Accelerometer against Polysomnography for Measuring Sleep Parameters and Vital Data in a Laboratory Setting in Sleep Patients,Garmin Forerunner 945 | Polar Ignite,Include,Include,Include
36540963,Feasibility of Using an Armband Optical Heart Rate Sensor in Naturalistic Environment,Polar OH1 armband | Polar H10 chest strap | MoodMetric ring (MM Ring),Exclude,Exclude,Exclude
36542432,Comparing a Fitbit Wearable to an Electrocardiogram Gold Standard as a Measure of Heart Rate Under Psychological Stress: A Validation Study,Fitbit Versa 2,Include,Include,Include
36829748,Are Activity Wrist-Worn Devices Accurate for Determining Heart Rate during Intense Exercise?,Fitbit Charge | Apple Watch | Tomtom Runner Cardio | Samsung Gear S2,Exclude,Exclude,Exclude
36858690,Clinical Validation of 5 Direct-to-Consumer Wearable Smart Devices to Detect Atrial Fibrillation BASEL Wearable Study,Apple Watch 6 | Samsung Galaxy Watch 3 | Withings ScanWatch (Scanwatch ECG) | Fitbit Sense | AliveCor KardiaMobile | AliveCor KardiaMobile 6L,Exclude,Exclude,Exclude
36930149,Machine Learning–Based Prediction of Attention-Deficit/Hyperactivity Disorder and Sleep Problems With Wearable Data in Children,Fitbit Wearable Wrist Tracker (Google LLC),Include,Include,Include
37112496,Validation of Commercial Activity Trackers in Everyday Life of People with Parkinson’s Disease,Fitbit Zip | Fitbit Alta | Fitbit Inspire,Include,Include,Include
37234033,Accuracy of a Standalone Atrial Fibrillation Detection Algorithm Added to a Popular Wristband and Smartwatch: Prospective Diagnostic Accuracy Study,Biostrap health tracker wristband | Fitbit Ionic smartwatch,Exclude,Exclude,Exclude
37380590,"Belun Ring (Belun Sleep System BLS-100): Deep learning-facilitated wearable enables obstructive sleep apnea detection, apnea severity categorization, and sleep stage classification in patients suspected of obstructive sleep apnea",Belun Ring (Belun Sleep System BLS-100),Exclude,Exclude,Exclude
37391280,"Evaluation of a device-agnostic approach to predict sleep from raw accelerometry data collected by Apple Watch Series 7, Garmin Vivoactive 4 and ActiGraph GT9X Link in children with sleep disruptions",Apple Watch Series 7 | Garmin Vivoactive 4,Include,Include,Include
37447697,"Wearable Technologies for Electrodermal and Cardiac Activity Measurements: A Comparison between Fitbit Sense, Empatica E4 and Shimmer GSR3+",Fitbit Sense,Include,Include,Include
37536665,Validation of Wearable Digital Devices for Heart Rate Measurement During Exercise Test in Patients With Coronary Artery Disease,Apple Watch 7 | Galaxy Watch 4,Include,Include,Include
37667685,diagnostic validation of smart wearable device embedded with single-lead electrocardiogram for arrhythmia detection,Huawei Watch GT2 Pro,Include,Include,Include
37707503,A Device Agnostic Approach to Predict Children!s Activity from Consumer Wearable Accelerometer Data: A Proof-of-Concept Study,Apple Watch Series 7 | Garmin Vivoactive 4,Include,Include,Include
37766031,Validating a Consumer Smartwatch for Nocturnal Respiratory Rate Measurements in Sleep Monitoring,Samsung Galaxy Watch 4 | Samsung Galaxy Watch 5,Include,Include,Include
37917155,"Accuracy of 11 Wearable, Nearable, and Airable Consumer Sleep Trackers: Prospective Multicenter Validation Study",Google Pixel Watch | Samsung Galaxy Watch 5 | Fitbit Sense 2 | Apple Watch 8 | Oura Ring 3,Exclude,Exclude,Exclude
38005669,Improving Automatic Smartwatch Electrocardiogram Diagnosis of Atrial Fibrillation by Identifying Regularity within Irregularity,Apple Watch Series 5,Include,Include,Include
38087674,"Selecting a sleep tracker from EEG-based, iteratively improved, low-cost multisensor, and actigraphy-only devices",Oura Ring Gen3 | Fitbit Sense | Xiaomi Mi Band 7 | Axtro Fit3 band,Include,Exclude,Exclude
38128015,Monitoring mobility in older adults using a Global Positioning System (GPS) smartwatch and accelerometer: A validation study,TicWatch S2 | TicWatch Pro 3 Ultra GPS,Exclude,Exclude,Exclude
38161560,The Reliability of the Apple Watch’s Electrocardiogram,Apple Watch Series 6,Include,Include,Include
38276327,Evaluating Accuracy in Five Commercial Sleep-Tracking Devices Compared to Research-Grade Actigraphy and Polysomnography,Fitbit Inspire HR | Fitbit Versa 2 | Garmin Vivosmart 4 | Oura Ring Gen 2 | Withings Sleep Tracking Mat,Exclude,Exclude,Exclude
38287935,Assessing the Validity of Several Heart Rate Monitors in Wearable Technology While Mountain Biking,Garmin fēnix 5 | Jabra Elite Sport Earbuds | Suunto Spartan Sport Watch + Chest HRM | Scosche Rhythm+ | Polar H7 Heart Rate Monitor | Polar A360 Fitness Tracker,Exclude,Exclude,Exclude
38350827,Validating the Fitbit Charge 4© wearable activity monitor for use in physical activity interventions,Fitbit Charge 4©,Include,Include,Include
38374225,Quantitative detection of sleep apnea in adults using inertial measurement unit embedded in wristwatch wearable devices,"mSafety wristwatch device (Sony Network Communications Europe, Malmö, Sweden)",Exclude,Exclude,Exclude
38382312,"Validity and reliability of the Oura Ring Generation 3 (Gen3) with Oura sleep staging algorithm 2.0 (OSSA 2.0) when compared to multi-night ambulatory polysomnography: A validation study of 96 participants and 421,045 epochs",Oura Ring Generation 3 | Oura Ring Generation 2 (Gen2m),Include,Include,Include
38450553,Assessment of Fitbit Charge 4 for sleep stage and heart rate monitoring against polysomnography and during home monitoring in Huntington’s disease,Fitbit Charge 4,Include,Include,Include
38455433,Criterion-Related Validity of Consumer-Wearable Activity Trackers for Estimating Steps in Primary Schoolchildren under Controlled Conditions: Fit-Person Study,Fitbit Ace 2 | Garmin Vivofit Jr 2 | Xiaomi Mi Band 5 | Samsung Galaxy S20+ with Pedometer (ITO Technologies) app | Samsung Galaxy S20+ with Pedometer Pacer Health app | Samsung Galaxy S20+ with Google Fit app | iPhone 11 Pro Max with Pedometer app | iPhone 11 Pro Max with Pedometer Pacer Health app | iPhone 11 Pro Max with Apple Health app,Include,Include,Include
38570223,Performance of wearable sleep trackers during nocturnal sleep and periods of simulated real-world smartphone use,Oura Ring Gen 3 | Fitbit Sense | AXTRO Fit 3 Fitness Tracker | Xiaomi Mi Band 7,Exclude,Exclude,Exclude
38700932,Jerks are useful: extracting pulse rate from wrist-placed accelerometry jerk during sleep in children,Apple Watch Series 7 | Garmin Vivoactive 4 | Fitbit Sense,Include,Include,Include
38794854,Validity of a smartwatch for detecting atrial fibrillation in patients after heart valve surgery: a prospective observational study,Apple Watch Series 5,Include,Include,Include
38841641,"Assessment of Maximum Oxygen Uptake in Elite Youth Soccer Players: A Comparative Analysis of Smartwatch Technology, Yoyo Intermittent Recovery Test 2, and Respiratory Gas Analysis",Garmin Forerunner 245 (Software: 13.00),Include,Include,Include
38873908,Metrology of two wearable sleep trackers against polysomnography in patients with sleep complaints,Fitbit Alta HR | Withings Activité,Include,Include,Include
38875680,Measuring Heart Rate Accurately in Patients With Parkinson Disease During Intense Exercise: Usability Study of Fitbit Charge 4,Fitbit Charge 4,Include,Include,Include
38918230,Validation of smartwatch electrocardiogram intervals in children compared to standard 12 lead electrocardiograms,"Withings ScanWatch (first generation, version 6.3.4)",Exclude,Include,Include
39004751,Commercially available activity monitors such as the fitbit charge and apple watch show poor validity in patients with gait aids after total knee arthroplasty,Fitbit Charge | Apple Watch Series 4,Include,Include,Include
39190715,Validation of activity trackers to estimate energy expenditure in older adults with cardiovascular risk factors,Fitbit Charge 3 | OMRON Walking Style IV Step Counter,Exclude,Exclude,Exclude
39291151,Evaluation of the Garmin Vivofit 4 for assessing sleep in youth experiencing sleep disturbances,Garmin Vivofit 4,Include,Include,Include
39301994,"Validity of a wrist-worn consumer-grade wearable for estimating energy expenditure, sedentary behaviour, and physical activity in manual wheelchair users with spinal cord injury","z-Track wrist-worn consumer-grade wearable (Glenworth Associates, Cambridge, UK)",Exclude,Exclude,Exclude
39409260,The Validity of Apple Watch Series 9 and Ultra 2 for Serial Measurements of Heart Rate Variability and Resting Heart Rate,Apple Watch Series 9 | Apple Watch Ultra 2,Include,Include,Include
39460013,Accuracy of Three Commercial Wearable Devices for Sleep Tracking in Healthy Adults,Oura Ring Gen3 | Fitbit Sense 2 | Apple Watch Series 8,Include,Include,Include
39465220,Smartwatch-based algorithm for early detection of pulmonary infection: Validation and performance evaluation,HUAWEI WATCH 3 smartwatch,Include,Include,Include
39502479,Accuracy of wrist-worn activity trackers for measuring steps in patients after major abdominal surgery: A validation study,Fitbit Inspire HR | Xiaomi MI Band 4 | HONOR Band 5,Exclude,Include,Exclude
39664308,Diagnostic Performance of Photoplethysmography-Based Smartwatch for Obstructive Sleep Apnea,Samsung Galaxy watch4 (44 mm) | Apple watch7 (44 mm),Include,Include,Include
39686012,"Deriving Accurate Nocturnal Heart Rate, rMSSD and Frequency HRV from the Oura Ring",Oura Ring Gen 3,Include,Include,Include
39727144,Accuracy of the Huawei GT2 Smartwatch for Measuring Physical Activity and Sleep Among Adults During Daily Life: Instrument Validation Study,Huawei Watch GT2,Include,Include,Include
39728259,Accuracy of the Apple Watch Series 9 for Measures of Energy Expenditure and Heart Rate at Rest and During Exercise: Impact of Skin Pigmentation,Apple Watch Series 9,Include,Include,Include
39789790,Reliability and Accuracy of the Fitbit Charge 4 Photoplethysmography Heart Rate Sensor in Ecological Conditions: Validation Study,Fitbit Charge 4,Include,Include,Include
39791483,Comparative Evaluation of Consumer Wearable Devices for Atrial Fibrillation Detection: Validation Study,Apple Watch | KardiaMobile 6L | FibriCheck | Preventicus Heartbeats App,Exclude,Exclude,Exclude
39866888,Continuous atrial fibrillation monitoring using a wearable smartwatch: Using long-term Holter as reference,Amazfit Health Smartwatch,Exclude,Exclude,Exclude
39905563,Quality in Question: Assessing the Accuracy of Four Heart Rate Wearables and the Implications for Psychophysiological Research,Kyto2935 | Schone Rhythm 24 | HeartMath Inner Balance Bluetooth | Empatica EmbracePlus,Exclude,Exclude,Exclude
39930990,"Step Count Accuracy of the Life Plus Connected Watch at Different Localizations and Speeds in Healthy Adults, Patients With Cardiovascular Disease, and Patients With Peripheral Artery Disease: Step Count Validation Study in Laboratory Settings",Life Plus smartwatch version 2 | Life Plus smartwatch version 3 | Life Plus connected watch version 2 | Life Plus connected watch version 3,Include,Exclude,Exclude
40017799,"Laboratory comparison of consumer-grade and research-established wearables for monitoring heart rate, body temperature, and physical acitivity in sub-Saharan Africa",Withings Pulse HR | Tucky thermometer,Exclude,Exclude,Exclude
40108409,Performance of wearable finger ring trackers for diagnostic sleep measurement in the clinical context,Oura Ring Gen 3 | SleepOn Go2Sleep | Circul+ Ring,Exclude,Exclude,Exclude
40116771,Wrist-Worn and Arm-Worn Wearables for Monitoring Heart Rate During Sedentary and Light-to-Vigorous Physical Activities: Device Validation Study,Polar Verity Sense | Polar Vantage V2,Include,Include,Include
40218582,Investigation and Validation of New Heart Rate Measurement Sites for Wearable Technologies,Apple Smartwatch Series 5,Include,Include,Include
40220874,A wearable ring oximeter for detection of sleep disordered breathing☆,"Circul® ring oximeter (Bodimetrics Corp, Los Angeles, CA)",Exclude,Exclude,Exclude
40285070,Validity of Heart Rate Variability Measured with Apple Watch Series 6 Compared to Laboratory Measures,Apple Watch Series 6,Include,Include,Include
40285309,Validation of the Use of a Smart Band in Recording Spatiotemporal Gait Parameters in the 6-Minute Walk Test,Xiaomi Mi Band 6,Include,Include,Include
40303381,A performance validation of six commercial wrist-worn wearable sleep-tracking devices for sleep stage scoring compared to polysomnography,Fitbit Charge 5 | Fitbit Sense | Withings Scanwatch | Garmin Vivosmart 4 | Whoop 4.0 | Apple Watch Series 8,Include,Include,Include
40335520,Validity of Hera Leto consumer earbuds for heart rate monitoring during stationary cycling,Hera Leto earbuds | Polar Verity Sense | Polar Vantage V,Exclude,Exclude,Exclude
40363363,Validation of an Open-Source Smartwatch for Continuous Monitoring of Physical Activity and Heart Rate in Adults,Bangle.js2 | Fitbit Charge 5,Exclude,Exclude,Exclude
40373042,Investigating the accuracy of Apple Watch VO2 max measurements: A validation study,Apple Watch Series 9 | Apple Watch Ultra 2 | Apple Watch Series 8 | Apple Watch SE | Apple Watch Series 5 | Apple Watch Series 6 | Apple Watch Series 7,Include,Include,Include
40431957,Biostrap Kairos Wristband Versus Electrocardiography for Resting Heart Rate Variability Assessment,Biostrap Kairos wristband,Exclude,Exclude,Exclude
40536450,Inconclusive Single-Lead ECGs From Smart-Devices Impact of Baseline ECG Anomalies,AliveCor KardiaMobile | Apple Watch 6 | Fitbit Sense | Samsung Galaxy Watch 3 | Withings ScanWatch,Exclude,Exclude,Exclude
40676371,Predicting Sleep and Sleep Stage in Children Using Actigraphy and Heartrate via a Long Short-Term Memory Deep Learning Algorithm: A Performance Evaluation,Apple Watch Series 7 | Fitbit Sense | Garmin Vivoactive 4,Include,Include,Include
40712528,Dreem headband performance in Insomnia Disorder: An in-lab comparison to polysomnography,Dreem 3 headband,Exclude,Exclude,Exclude
40717865,Diagnostic performance of single-lead electrocardiograms from a smartwatch and a smartring for cardiac arrhythmia detection,Apple Watch Series 6 | Skylabs CART Ring,Exclude,Exclude,Exclude
40735859,Validation of the Fitbit Charge 5 for the Detection of Heart Rate and Electrodermal Activity,Fitbit Charge 5,Include,Include,Include
40740423,Validity of smartwatch-derived estimates of lactate threshold heart rate and pace compared to graded exercise testing,HUAWEI GT Runner | Garmin Forerunner 265 | Garmin Forerunner 265s | COROS Pace 3,Exclude,Exclude,Exclude
40807699,Estimating Heart Rate from Inertial Sensors Embedded in Smart Eyewear: A Validation Study,Garmin Venu 3,Include,Include,Include
40807979,Can a Commercially Available Smartwatch Device Accurately Measure Nighttime Sleep Outcomes in Individuals with Knee Osteoarthritis and Comorbid Insomnia? A Comparison with Home-Based Polysomnography,Fitbit Sense,Include,Include,Include
40834291,Validation of nocturnal resting heart rate and heart rate variability in consumer wearables,Garmin Fenix 6 | Oura Generation 3 | Oura Generation 4 | Polar Grit X Pro | WHOOP 4.0,Include,Include,Include
40901279,Quantification of Differences in Sleep Measurement by a Wrist-Worn Consumer Wearable Compared to Research-Grade Accelerometry and Sleep Diaries of Female Adults in Free-Living Conditions,Fitbit Charge 3 | Fitbit Charge 5,Include,Include,Include
40986546,Validity of four low-cost smartwatches in estimating energy expenditure during cycling in Chinese untrained women,HONOR Band 7 (HNB7) | HUAWEI Band 8 (HWB8) | XIAOMI Smart Band 8 (XMB8) | KEEP Smart Band B4 Lite (KPB4L),Exclude,Exclude,Exclude
41001270,From Wrist to Precision: Enhanced Atrial Flutter Detection with Modified Smartwatch Single-Lead Electrocardiogram Placement,Apple Watch Series 6,Include,Include,Include
41012946,MoveLab®: Validation and Development of Novel Cross-Platform Gait and Mobility Assessments Using Gold Standard Motion Capture and Clinical Standard Assessment,Samsung Galaxy A25 smartphone,Exclude,Exclude,Exclude
41052425,Validity of Heart Rate Measurement Using Wearable Devices During Cardiopulmonary Exercise Testing in Patients With Cardiovascular Disease: Prospective Pilot Validation Study,Fitbit Inspire 3,Include,Include,Include
41124109,Accurate measurement of simulated slow and altered walking activity: Apple Watch best in class wearable devices,Apple Watch Series 5 | Fitbit Charge 4 | Fitbit Inspire 1 | Fitbit Versa 2 | Garmin Forerunner 45S | Garmin Vivofit 4 | Samsung Active 2 | Samsung Fit 1 | Withings Move | Withings Steel HR,Include,Include,Include
41157371,Accuracy of Heart Rate Measurement Under Transient States: A Validation Study of Wearables for Real-Life Monitoring,Fitbit Charge 5 | Fitbit Sense 2 | Garmin Vivosmart 4 | WHOOP 4.0 | Withings Scanwatch,Include,Include,Include
41157380,Accuracy of an Overnight Axillary-Temperature Sensor for Ovulation Detection: Validation in 194 Cycles,Tempdrop axillary temperature armband sensor,Exclude,Exclude,Exclude
41209591,Validation of heart rate measured by the consumer-level wearable device Fitbit: a cross-sectional observational study,Fitbit Inspire 3,Include,Include,Include
